GeneFusion	Publication	Diagnosis_MM
ETV6::RUNX1	High incidence of the ETV6/RUNX1 fusion gene in paediatric precursor B-cell acute lymphoblastic leukaemias with trisomy 21 as the sole cytogenetic change: a Nordic series of cases diagnosed 1989-2005., Karrman et al 2006, Br J Haematol, 2006, 135:352-354, 16965388	Acute lymphoblastic leukemia/lymphoblastic lymphoma
NUP98::CCDC28A	NUP98 rearrangements in hematopoietic malignancies: a study of the Groupe Francophone de Cytogénétique Hématologique., Romana et al 2006, Leukemia, 2006, 20:696-706, 16467868	Acute lymphoblastic leukemia/lymphoblastic lymphoma
IGH::BCL2	Translocation (14;18)(q32;q21) in acute lymphoblastic leukemia: a study of 12 cases and review of the literature., D'Achille et al 2006, Cancer Genet Cytogenet, 2006, 171:52-56, 17074591	Acute lymphoblastic leukemia/lymphoblastic lymphoma
PICALM::MLLT10,TAL1+,TLX1+,TLX3+	The outcome of molecular-cytogenetic subgroups in pediatric T-cell acute lymphoblastic leukemia: a retrospective study of patients treated according to DCOG or COALL protocols., van Grotel et al 2006, Haematologica, 2006, 91:1212-1221, 16956820	Acute lymphoblastic leukemia/lymphoblastic lymphoma
NUP214::ABL1	NUP214-ABL1 in adult T-ALL: the GMALL study group experience., Burmeister et al 2006, Blood, 2006, 108:3556-3559, 16873673	Acute lymphoblastic leukemia/lymphoblastic lymphoma
+NUP214::ABL1	NUP214-ABL1 in adult T-ALL: the GMALL study group experience., Burmeister et al 2006, Blood, 2006, 108:3556-3559, 16873673	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1,ETV6::RUNX1	Risk- and response-based classification of childhood B-precursor acute lymphoblastic leukemia: a combined analysis of prognostic markers from the Pediatric Oncology Group (POG) and Children's Cancer Group (CCG)., Schultz et al 2007, Blood, 2007, 109:926-935, 17003380	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Deletion of 11q23 is a highly specific nonrandom secondary genetic abnormality of ETV6/RUNX1-rearranged childhood acute lymphoblastic leukemia., Attarbaschi et al 2007, Leukemia, 2007, 21:584-586, 17215856	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	Characteristics of patients with TEL-AML1-positive acute lymphoblastic leukemia with single or multiple fusions., Al-Sweedan et al 2007, Pediatr Blood Cancer, 2007, 48:510-514, 16763978	Acute lymphoblastic leukemia/lymphoblastic lymphoma
TRB::MYB	The C-MYB locus is involved in chromosomal translocation and genomic duplications in human T-cell acute leukemia (T-ALL), the translocation defining a new T-ALL subtype in very young children., Clappier et al 2007, Blood, 2007, 110:1251-1261, 17452517	Acute lymphoblastic leukemia/lymphoblastic lymphoma
TRB::MYB	The C-MYB locus is involved in chromosomal translocation and genomic duplications in human T-cell acute leukemia (T-ALL), the translocation defining a new T-ALL subtype in very young children., Clappier et al 2007, Blood, 2007, 110:1251-1261, 17452517	Acute lymphoblastic leukemia/lymphoblastic lymphoma
ETV6::RUNX1	High frequency of t(12;21)(p13;q22) in children with acute lymphoblastic leukemia and known clinical outcome in southern Brazil., Acosta Veiga et al 2004, Leuk Res, 2004, 28:1033-1038, 15289014	Acute lymphoblastic leukemia/lymphoblastic lymphoma
BCR::ABL1,KMT2A::AFF1,TCF3::PBX1	Prospective multicentric molecular study for poor prognosis fusion transcripts at diagnosis in adult B-lineage ALL patients: the LALA 94 experience., Picard et al 2006, Leukemia, 2006, 20:2178-2181, 17039237	Acute lymphoblastic leukemia/lymphoblastic lymphoma
KMT2A::AFF1	Acute lymphoblastic leukemia with t(4;11) in children 1 year and older: The 'big sister' of the infant disease?, Mann et al 2007, Leukemia, 2007, 21:642-646, 17287854	Acute lymphoblastic leukemia/lymphoblastic lymphoma
TCF3::HLF	Hypercalcemia in childhood acute lymphoblastic leukemia: frequent implication of parathyroid hormone-related peptide and E2A-HLF from translocation 17;19., Inukai et al 2007, Leukemia, 2007, 21:288-296, 17183364	Acute lymphoblastic leukemia/lymphoblastic lymphoma
IGH::ID4	t(6;14)(p22;q32): a new recurrent IGH@ translocation involving ID4 in B-cell precursor acute lymphoblastic leukemia (BCP-ALL)., Russell et al 2008, Blood, 2008, 111:387-391, 17940204	Acute lymphoblastic leukemia/lymphoblastic lymphoma
